"","mu_list","std","replicates","anova_p","tukey_pct_individuals","tukey_pct_groups"
"1","constant_delta","10","2","1.09397557790005e-09","0.836363636363636","0.95"
"2","constant_delta","10","5","3.5241291081042e-37","0.927272727272727","1"
"3","constant_delta","10","10","9.70064699363454e-77","0.963636363636364","0.975"
"4","constant_delta","10","15","3.86357871389963e-125","1","1"
"5","constant_delta","10","20","5.30380744996443e-163","1","1"
"6","constant_delta","30","2","0.00063482390603831","0.254545454545455","0.35"
"7","constant_delta","30","5","1.96253440887012e-12","0.527272727272727","0.7"
"8","constant_delta","30","10","1.85864797646464e-34","0.709090909090909","0.9"
"9","constant_delta","30","15","2.07761204230799e-51","0.818181818181818","0.95"
"10","constant_delta","30","20","2.40571388024089e-69","0.781818181818182","0.925"
"11","constant_delta","60","2","0.00465781439612344","0.109090909090909","0.15"
"12","constant_delta","60","5","4.0862394779926e-05","0.163636363636364","0.225"
"13","constant_delta","60","10","3.86478554619679e-11","0.327272727272727","0.35"
"14","constant_delta","60","15","2.08681537427035e-25","0.563636363636364","0.725"
"15","constant_delta","60","20","5.38874917370086e-37","0.654545454545455","0.85"
"16","grouped_delta","10","2","0.000750589860890876","0.218181818181818","0.3"
"17","grouped_delta","10","5","1.07656757070967e-18","0.690909090909091","0.95"
"18","grouped_delta","10","10","1.15414085644581e-43","0.781818181818182","0.975"
"19","grouped_delta","10","15","1.40723065346878e-64","0.836363636363636","1"
"20","grouped_delta","10","20","2.19362300118821e-89","0.8","1"
"21","grouped_delta","30","2","0.0947911493060581","0","0"
"22","grouped_delta","30","5","0.000718794298839187","0.127272727272727","0.175"
"23","grouped_delta","30","10","2.06746942162015e-12","0.4","0.55"
"24","grouped_delta","30","15","1.20880293318436e-15","0.472727272727273","0.65"
"25","grouped_delta","30","20","4.07636932209893e-23","0.527272727272727","0.725"
"26","grouped_delta","60","2","0.92266415709155","0","0"
"27","grouped_delta","60","5","0.00021839963504947","0.127272727272727","0.175"
"28","grouped_delta","60","10","0.0217451528635817","0","0"
"29","grouped_delta","60","15","0.00400387513928229","0.0363636363636364","0.05"
"30","grouped_delta","60","20","3.18689980794377e-11","0.345454545454545","0.475"
